id	text	count
10829181914	男主 最后 时刻 的 大声 搭讪 简直 让 我 泪流满面 诚哥 终于 解开 了 死结 绕出 了 怪圈 突破 了 自己 以前 总是 嘲笑 诚哥 有 画质 没剧制 然后 厚着脸皮 截图 当 桌面 现在 是 信诚爷 剧情 画面 硬如铁 当然 全片 依然 有 很多 足部 描写 不愧 是 诚哥 给 跪 了 另外 听 着 神木 弟弟 捏 着 嗓子 大叫 总是 感觉 怪怪的 	211
10863731454	相遇 轻而易举 重逢 却 需君 百般 努力 现在 开始 轮到 我 了 带上 经验 与 知识 还有 已经 发霉 的 勇气 以 前所未有 的 速度 冲向 你 的 身边 新海 诚 揉碎 了 我 的 少女 心 	110
10897426993	一般 吧 没 感觉 到 泪点 一直 觉得 这种 日漫 太 理想 中 二 豆瓣 评分 虚高 	1518
11160190574	突然 间 黄昏 变得 明亮 因为 此刻 正有 细雨 在 落下 晨昏 晦明 之际 的 命运 交错 时空 翻转 颠覆 的 痴 梦 纠缠 你 的 名字 我 的 掌心 最 重要 的 人 绝对 不 可以 忘记 的 人 最终 我们 会 在 茫茫 众生 寻认 到 彼此 奇幻 外衣 包裹 的 纯爱 之心 对 自然 万物 有灵 的 尊重 敬仰 民俗文化 的 保留 真让人 羡慕 	97
11119300283	到底 该 在 哪里 哭 很 悲哀 我 已 铁石心肠 	915
11146104713	作为 直 男 欣赏 无能 	684
10855263933	评分 真的 太高 了 可能 因为 这 几年 影视 炒作 太 猛烈 个人感觉 是 一部 看过 就 会 忘 的 影片 没有 太 打动 人 的 地方 	710
11111341282	商业 滥情 到 令人生厌 在 手机 时代 交换 身体 那么 久 然后 互相 不 知道 时空 不同 我 也 是 醉 了 	2065
10835921534	大部分 观众 都 觉得 这是 一部 爱暖 希望 的 爱情片 现实 中是 不会 有个 东京 帅哥 翻山越岭 来 找 你 的 吃瓜 群众 脸 	100
11113650763	挺 漂亮 的 仍有 恋足 展示 延续 了 言 叶之庭 很 好 	455
10814502504	很 老套 但是 好看 如果 彗星 陨落 小镇 罹难 泷 毕业 工作 结婚 生子 一辈子 都 困扰 于 零星 的 记忆 追逐 莫名 的 心动 我 就 给 满分 洞涵 中 闪回 大大 加 分 亿万 精子 中 脱颖而出 诞生 的 婴儿 与 亿万年 前 从 尘埃 形成 的 陨石 冥冥中 牵绊 人类 不 可知 的 构造 记忆 与 情感 的 奥秘 与 还 未 探索 的 宇宙 深处 一样 浩瀚 伟大 	74
11171213243	难以置信 你们 都 是 在 哪儿 哭 的 	572
10809061045	今年 最 满意 的 一部 电影 非常 了解 大家 二刷 三刷 的 心情 一直 觉得 新海 诚 的 故事 是 短板 但 这次 的 剧本 出乎意料 的 好 影院 观影 体验 极佳 画面 音乐 毋庸置疑 笑点 和 煽情 都 恰到好处 关于 时空 牵绊 成长 和 爱 时空 交错 让 人 想起 彗星 来 的 那 一夜 关于 名字 的 记忆 让 人 想起 千与千寻 里 的 两人 的 空中 坠落 	383
11165325164	使徒 来袭 大型 避难 教育片 	48
11175766074	真的 没有 人 看 出来 这 是 说 福岛 吗 壁纸 诚 把 自己 致敬 了 个 遍 好 在 还 算 舒服 混音 扣分 音乐 太吵 虽然 真是 矫情 但是 矫情 的 真是 舒服 即便 是 认可 设定 的 情况 下 这 片儿 也 不能 细究 合理性 手机 三年 不换款 吗 而且 这 还是 个 最大 的 梗 本 以为 最后 一分钟 营救 会 是 少年 没想到 换回 了 少女 而且 没拍 出来 	32
10856868145	新海 诚 长进 了 会 讲故事 了 以前 我 总笑 他 是 日本 动画 界 的 王家卫 可 现在 快要 追赶 宫崎骏 了 思念 日本 乡愁 病 发作 时 必看 新海 诚 止渴 因为 那 天光云影 草木 樱花 电车 街角 广告牌 瓶装 茶 甚至 画面 里 流动 的 一股 空气 一抹 微尘 都 实实在在 是 属于 日本 的 哪怕 我身 在 日本 都 愿意 沉溺 这个 二次元 的 日本 里 	249
10903756563	所有 的 相遇 都 是 久别重逢 恰如 宝玉 说 这个 妹妹 我 曾 见 过 的 而 所有 的 分离 也 都 将 久病成医 分着 分着 也 就 习惯 了 	500
10799068432	和 前作 相比 并 没 觉得 有变 好 反倒 在 大屏幕 更加 显得 像 在 看 幻灯片 故事情节 在 哪里 觉得 太 没有 人间 性 想要 做 的 很 像 人 却 都 是 完全 没有 感情 的 人偶 而且 好多个 瞬间 都 感受 到 作品 透露 着 深处 的 冷漠 和 表面 包装 的 浪漫 温暖 美好 相对 比 更让人 害怕 	2023
11119383393	彗星 降落 的 画面 依然 美轮美奂 但 这 一部 不再 一味 炫景 故事 和 情感 核心 比 风景 更 抓 人 但 还是 很 少女 和 二次元 可能 年纪 大 了 没有 触动 导演 说 拍 这个 片 是 希望 大家 不要 错过 那个 重要 的 人 	417
