id	text	count
64000824	“ 凡 为 夫妇 之因 ， 前世 三生 结缘 ， 始配 今生 为 夫妇 。 若 结缘 不合 ， 比是 冤家 ， 故来 相对 ； 即以 二心 不同 ， 难归 一意 ， 快会 及 诸亲 ， 各 还 本道 。 愿妻 娘子 相 离 之后 ， 重梳婵 鬓 ， 美扫 峨眉 ， 巧 呈 窈窕 之姿 ， 选聘 高官 之主 。 解怨 释结 ， 更莫相憎 。 一别 两 宽 ， 各生 欢喜 。 ” 据说 ， 这是 唐代 一份 “ 离婚 协议书 ” 的 内容 。 其中 “ 一别 两 宽 ， 各生 欢喜 ” 一句 ， 体现 出 的 豁达 、 轻松 ， 境界 实在 高过 “ 让 前任 后悔 ” 的 促狭 、 怨怼 。 许 不能 一别 两 宽 各生 欢喜 ， 但 也 可 劳燕分飞 陌路 从此 ， 最好 别 心怀 怨恨 疲累 于己 。	560
63570788	我 这么 努力 不是 为了 让 前任 后悔 ， 而是 为了 不让 他 后悔 曾经 喜欢 过 我 ， 为了 不 辜负 曾经 被 爱 的 那个 自己 。 从不 后悔 曾 和 他 在 一起 ， 虽然 要 用 之后 那么 漫长 的 时光 治愈 。 希望 他 以后 偶尔 想起 我时 也 都 能 是 快乐 的 ， 所以 才 要 好好 努力 让 自己 也 变得 优秀 。	592
63409788	如果 一个 女生 当下 感情 幸福 ， 其 前男友 的 任何 “ 让 前任 后悔 ” 的 努力 都 是 自讨没趣 如果 一个 男生 ... 真是 个 男生 ， 其 前女友 的 任何 “ 让 前任 后悔 ” 的 努力 都 是 自取其辱 聪明 和 快乐 的 人 都 是 这样 的 ： 记得 过去 的 美好 ， 运作 当下 ， 往前 看	230
211526568	看 了 这个 问题 下 很多 答案 ， 想起 罗永浩 曾 说 过 一句 话 “ 我 希望 我 所有 的 前任 ， 都 不 后悔 他们 的 决定 。 ” 那时 年纪 小 还 不 明白 ， 现在 才 感受 到 这 是 一种 怎样 的 慈悲心 。 现在 的 我 也 没有 达到 的 慈悲心 。 怎样 让 对方 后悔 并不知道 ， 但 怎样 让 自己 即使 身为 前任 也 不 后悔 呢 ？ 在我看来 ， 就是 竭尽全力 的 付出 。 把 自己 能 给 的 都 给 对方 （ 并 不是 失去 自我 ） ， 这样 即使 分手 了 ， 因为 全情 的 投入 付出 过 ， 可以 说 我 尽力 了 ， 没有 遗憾 ， 反而 比 感情 里 计较 犹疑 的 那个 更 容易 走 出来 。 而且 若干年 后 想起 ， 自己 尽力 了 ， 问心无愧 的 感情 ， 虽然 事与愿违 ， 却 可以 无悔 。	103
64985269	我 希望 她们 永远 不会 后悔 — — 正因如此 ， 我 才 曾 爱 上 她们 。	375
63063799	我 一直 觉得 ， 人 应该 为 自己 而活 ， 如果 你 思想 还 停留 在 ： 如何 让 前任 后悔 之中 ， 说明 你 是 很 辛苦 的 在 为 ta 而活 。 有 的 东西 因为 结束 、 消亡 而 变得 更加 有 意义 ， 如果 一直 抓着不放 ， 会 变得 很 低级 无趣 。 放过 对方 ， 也 是 放过 自己 。 丑小鸭 跃 变成 白天鹅 并 不是 给 之前 一起 生活 的 小鸭子 欣赏 的 。 敬 往事 一 杯酒 ， 再 爱 也 不 回头 。	438
63346273	我 把 冷水 烧开 需要 一定 的 时间 ， 泼 回去 的 那天 一定 加倍 用力 。	542
63864321	好 的 人 ， 如果 有 一天 他 真的 会 后悔 ， 也 是因为 经历 了 一些 事 变得 成熟 了 ， 完完全全 会 是 发自内心 的 ， 不会 是因为 你 变 了 之类 的 原因 ， 只是 他会 觉得 当初 不 懂得 好好 珍惜 之类 的 。 而 如果 是 由于 你 变 漂亮 了 ， 有钱 了 或者 之类 的 自己 可控 的 改变 而 后悔 的 ， 而 这种 的 后悔 除了 证明 你们 一 开始 就是 错 的 并且 是 你 当初 眼瞎 以外 ， 无法 证明 其他 。	53
63326715	已逆袭 成功 的 表示 ， 我 现在 连 前任 是 生是 死 是 人 还是 狗 都 懒得 知道 ╮ ( ╯ _ ╰ ) ╭ 他 后悔 怎么样 ， 不 后悔 又 怎么样 。 他 现在 对 我 生活 唯一 能 做 的 就是 滚远点 、 再 滚 远点 。 有些 人 觉得 我 不该 这么 说 他 。 你们 总 觉得 提起 前任 就 该 云淡风轻 ， 就 该 动情 垂泪 ， 就 该 面带微笑 说 祝 他 幸福 ， 否则 我 就是 大大的 坏人 。 好 吧 ， 三个 前男友 ， 对 第一任 我 可以 说 我 已 释然 ， 对 第二任 我 愿意 遥祝 他 幸福 ， 但 对 第三任 也 就是 我 所说 的 前任 ， 我 真心 没有 任何 好话 可以 讲 。 我 不是 圣贤 ， 我 没有 无边无际 的 心胸 。 并 不是 所有 错误 都 可以 值得 被 原谅 。 包容 他 是 你们 这群 圣母 的 事情 ， 而 我 只要 离 的 远远 的 就 好 。 你 judge 你 的 judge ， 我活 我 的 人生 。	203
63551266	第一个 前任 嫌 我 穷 ， 于是 我 学会 了 经济 独立 ； 第二个 前任 嫌 我 粘人 ， 于是 我 学会 了 人格 独立 ； 第三个 前任 嫌 我 爱 抱怨 ， 于是 我 学会 了 精神 独立 。 他们 后悔 不 后悔 不 重要 ， 重要 的 是 我 学到 了 人生 该 学到 的 东西 ， 感谢 他们 。	61
